Income,Living_Standards,Homeownership_Status,Location,Work_Experience,Type_of_Housing,Number_of_Dependents,Household_Size,Age,Employment_Status
68418,Low,Rent,Urban,18,Apartment,0,3,55,Part-time
72402,Medium,Own,Urban,22,Apartment,1,5,55,Part-time
53748,Low,Rent,Urban,12,Townhouse,5,3,20,Full-time
1956762,High,Own,Urban,20,Townhouse,0,2,51,Full-time
90207,Medium,Own,Urban,14,Townhouse,1,7,38,Part-time
65366,Low,Own,Urban,6,Apartment,0,2,66,Self-employed
75392,Medium,Rent,Urban,42,Single-family home,0,2,51,Full-time
72298,Medium,Rent,Urban,9,Apartment,0,4,65,Part-time
66342,Low,Rent,Urban,17,Apartment,4,7,68,Self-employed
73624,Medium,Own,Suburban,16,Single-family home,5,4,61,Self-employed
1309591,High,Rent,Urban,29,Apartment,3,4,64,Self-employed
1029833,High,Own,Suburban,48,Townhouse,1,7,27,Full-time
74980,Medium,Own,Urban,4,Apartment,5,1,60,Self-employed
61976,Low,Own,Urban,43,Apartment,2,4,35,Full-time
65334,Low,Own,Urban,12,Single-family home,3,4,45,Full-time
68502,Low,Own,Urban,41,Single-family home,1,1,53,Part-time
40819,Low,Own,Urban,7,Single-family home,3,3,28,Self-employed
74368,Medium,Rent,Rural,15,Single-family home,2,4,40,Full-time
471322,High,Rent,Suburban,21,Single-family home,3,1,68,Full-time
74249,Medium,Rent,Urban,4,Apartment,1,3,18,Full-time
134097,Medium,Own,Urban,36,Townhouse,3,3,30,Full-time
1619376,High,Rent,Urban,11,Apartment,3,7,22,Full-time
69062,Low,Own,Urban,14,Townhouse,3,1,21,Self-employed
3073196,High,Rent,Urban,46,Single-family home,3,2,22,Part-time
66440,Low,Own,Suburban,34,Single-family home,5,6,49,Part-time
316823,High,Own,Urban,48,Single-family home,1,7,70,Full-time
490898,High,Own,Urban,1,Townhouse,3,5,45,Self-employed
69522,Low,Own,Suburban,50,Apartment,2,2,43,Full-time
66734,Low,Own,Urban,45,Apartment,2,7,19,Full-time
70648,Medium,Own,Suburban,25,Apartment,4,1,70,Full-time
597392,High,Own,Urban,10,Townhouse,5,7,25,Part-time
9922858,High,Own,Suburban,4,Single-family home,2,7,57,Full-time
67354,Low,Rent,Urban,29,Townhouse,5,2,62,Full-time
66032,Low,Own,Urban,14,Single-family home,4,5,38,Self-employed
9017116,High,Own,Suburban,17,Single-family home,5,1,68,Part-time
5672297,High,Rent,Urban,11,Single-family home,2,5,64,Self-employed
68152,Low,Own,Urban,37,Single-family home,2,7,23,Full-time
350894,High,Rent,Urban,29,Apartment,3,7,29,Full-time
3076169,High,Own,Urban,48,Single-family home,2,5,39,Full-time
72204,Medium,Own,Urban,34,Single-family home,2,4,46,Part-time
75408,Medium,Own,Suburban,35,Single-family home,0,3,42,Part-time
69844,Low,Own,Urban,43,Townhouse,3,4,39,Full-time
66480,Low,Own,Urban,33,Single-family home,0,2,59,Full-time
136474,Medium,Rent,Rural,36,Apartment,4,6,40,Full-time
72348,Medium,Rent,Suburban,30,Single-family home,1,6,32,Self-employed
74760,Medium,Rent,Urban,0,Apartment,4,2,65,Self-employed
983332,High,Rent,Urban,49,Single-family home,0,3,54,Part-time
70804,Medium,Own,Urban,28,Apartment,0,6,55,Full-time
1358020,High,Own,Urban,38,Townhouse,5,7,66,Self-employed
74278,Medium,Own,Urban,27,Single-family home,2,3,55,Part-time
71710,Medium,Rent,Urban,35,Townhouse,5,4,46,Full-time
72324,Medium,Rent,Suburban,32,Apartment,2,7,19,Part-time
1175199,High,Rent,Rural,50,Townhouse,3,7,45,Full-time
74062,Medium,Own,Urban,16,Apartment,1,7,55,Full-time
1804765,High,Own,Urban,47,Single-family home,1,4,51,Full-time
65970,Low,Own,Urban,6,Townhouse,5,6,51,Self-employed
66954,Low,Own,Urban,26,Single-family home,5,3,47,Full-time
65720,Low,Own,Urban,49,Single-family home,3,5,42,Full-time
66184,Low,Own,Suburban,29,Apartment,3,5,48,Full-time
196515,High,Rent,Urban,26,Townhouse,3,5,33,Part-time
4184654,High,Own,Urban,43,Townhouse,0,1,27,Full-time
204986,High,Rent,Suburban,24,Apartment,5,7,24,Full-time
609165,High,Own,Urban,48,Single-family home,0,5,56,Self-employed
65466,Low,Rent,Urban,6,Single-family home,1,7,47,Full-time
4108639,High,Rent,Urban,36,Single-family home,0,3,38,Full-time
290555,High,Rent,Urban,42,Apartment,1,6,32,Full-time
65592,Low,Own,Urban,22,Townhouse,0,6,65,Full-time
69628,Low,Own,Urban,43,Single-family home,3,6,64,Full-time
81487,Medium,Rent,Urban,13,Apartment,1,3,51,Full-time
73268,Medium,Rent,Urban,2,Single-family home,2,6,57,Part-time
73320,Medium,Own,Rural,50,Single-family home,1,3,37,Full-time
70966,Medium,Own,Urban,48,Townhouse,3,3,20,Part-time
72356,Medium,Own,Suburban,50,Townhouse,4,1,22,Part-time
74472,Medium,Own,Rural,1,Apartment,1,2,49,Full-time
71876,Medium,Rent,Urban,5,Single-family home,0,4,53,Part-time
72460,Medium,Own,Urban,22,Townhouse,2,2,31,Self-employed
74222,Medium,Own,Urban,15,Apartment,3,6,63,Part-time
75002,Medium,Own,Urban,0,Apartment,0,6,56,Self-employed
73342,Medium,Own,Urban,21,Apartment,4,3,62,Part-time
72878,Medium,Rent,Urban,45,Townhouse,5,2,39,Full-time
901570,High,Own,Rural,9,Single-family home,3,3,50,Self-employed
65812,Low,Own,Urban,2,Single-family home,2,2,38,Full-time
1155279,High,Own,Urban,2,Single-family home,0,7,65,Part-time
627278,High,Rent,Urban,4,Single-family home,3,5,57,Full-time
1477303,High,Rent,Urban,21,Single-family home,1,7,34,Part-time
71486,Medium,Own,Suburban,43,Apartment,2,4,61,Full-time
191035,High,Own,Rural,20,Apartment,1,7,53,Part-time
694795,High,Own,Rural,32,Apartment,3,2,37,Part-time
1332533,High,Own,Urban,49,Apartment,5,5,60,Part-time
74416,Medium,Own,Urban,38,Apartment,1,7,25,Self-employed
9914893,High,Rent,Urban,39,Single-family home,3,2,64,Full-time
72882,Medium,Own,Urban,7,Apartment,2,4,56,Full-time
73754,Medium,Own,Suburban,29,Apartment,4,4,19,Self-employed
65136,Low,Rent,Urban,33,Single-family home,3,4,64,Full-time
71276,Medium,Own,Urban,11,Townhouse,2,5,21,Part-time
81351,Medium,Rent,Urban,9,Single-family home,1,3,43,Part-time
84460,Medium,Own,Urban,15,Townhouse,1,4,47,Part-time
1082536,High,Rent,Urban,21,Townhouse,0,1,50,Full-time
9829544,High,Own,Urban,45,Apartment,1,7,23,Full-time
71268,Medium,Own,Rural,45,Apartment,1,3,29,Full-time
677136,High,Own,Urban,25,Apartment,2,4,18,Part-time
303615,High,Rent,Urban,41,Apartment,3,1,32,Full-time
829468,High,Rent,Urban,33,Townhouse,4,6,25,Part-time
110029,Medium,Rent,Suburban,31,Apartment,0,6,48,Part-time
5320992,High,Own,Urban,12,Apartment,3,2,54,Full-time
66584,Low,Own,Rural,38,Single-family home,2,2,52,Full-time
74912,Medium,Own,Urban,15,Apartment,1,5,43,Part-time
1432403,High,Own,Rural,7,Apartment,4,3,59,Full-time
66358,Low,Rent,Urban,17,Single-family home,3,2,42,Part-time
70768,Medium,Own,Urban,40,Apartment,3,1,57,Full-time
65652,Low,Own,Urban,40,Single-family home,3,2,35,Self-employed
44625,Low,Rent,Rural,7,Apartment,0,5,19,Full-time
3039874,High,Own,Suburban,12,Single-family home,4,4,43,Full-time
6894937,High,Own,Urban,33,Single-family home,1,4,54,Self-employed
68878,Low,Own,Rural,19,Townhouse,2,1,18,Full-time
68458,Low,Own,Urban,21,Apartment,4,3,34,Full-time
68588,Low,Own,Urban,38,Single-family home,3,6,43,Part-time
43161,Low,Rent,Urban,46,Apartment,1,5,31,Part-time
74610,Medium,Own,Urban,42,Single-family home,4,5,46,Part-time
31989,Low,Own,Rural,24,Apartment,4,1,21,Part-time
67934,Low,Own,Urban,39,Townhouse,0,6,47,Full-time
69448,Low,Own,Urban,12,Apartment,1,6,49,Self-employed
123036,Medium,Rent,Urban,18,Apartment,2,2,56,Part-time
73824,Medium,Own,Rural,32,Apartment,4,6,42,Part-time
71748,Medium,Rent,Suburban,25,Apartment,3,6,20,Full-time
66358,Low,Own,Urban,22,Single-family home,3,7,59,Part-time
65088,Low,Rent,Suburban,28,Townhouse,2,6,66,Self-employed
208463,High,Rent,Urban,37,Apartment,2,6,46,Part-time
120270,Medium,Rent,Urban,42,Single-family home,0,7,62,Part-time
69352,Low,Rent,Urban,48,Apartment,3,4,41,Self-employed
74686,Medium,Own,Suburban,26,Single-family home,0,4,21,Self-employed
64685,Low,Rent,Suburban,17,Apartment,0,6,35,Full-time
139819,Medium,Own,Rural,22,Apartment,0,2,28,Part-time
70868,Medium,Own,Urban,24,Apartment,0,2,49,Full-time
317824,High,Own,Urban,44,Townhouse,3,6,38,Full-time
69980,Low,Own,Urban,37,Apartment,5,5,70,Self-employed
69188,Low,Own,Urban,43,Single-family home,4,1,50,Full-time
184483,High,Rent,Suburban,15,Single-family home,3,1,58,Full-time
67424,Low,Own,Suburban,44,Single-family home,2,5,32,Full-time
71060,Medium,Own,Suburban,36,Single-family home,0,7,45,Full-time
66712,Low,Own,Suburban,14,Townhouse,3,1,28,Part-time
66228,Low,Rent,Urban,23,Single-family home,2,4,20,Full-time
70900,Medium,Own,Suburban,27,Single-family home,1,5,32,Self-employed
73072,Medium,Rent,Suburban,8,Apartment,4,6,29,Full-time
115153,Medium,Own,Suburban,7,Apartment,5,5,63,Self-employed
62660,Low,Rent,Suburban,2,Single-family home,1,7,29,Full-time
41911,Low,Rent,Urban,12,Townhouse,5,3,41,Full-time
66632,Low,Rent,Urban,42,Apartment,1,4,25,Part-time
65552,Low,Own,Urban,9,Single-family home,2,6,59,Full-time
79165,Medium,Rent,Urban,26,Apartment,3,5,67,Full-time
1632451,High,Own,Rural,26,Apartment,2,2,68,Full-time
65114,Low,Own,Rural,0,Single-family home,5,7,51,Part-time
5219916,High,Own,Urban,26,Apartment,5,1,40,Full-time
74208,Medium,Own,Urban,48,Townhouse,3,5,55,Full-time
68348,Low,Own,Suburban,34,Townhouse,0,2,33,Full-time
73102,Medium,Rent,Rural,44,Apartment,2,2,41,Self-employed
665613,High,Own,Urban,1,Apartment,1,5,22,Self-employed
381368,High,Own,Urban,19,Apartment,5,1,28,Full-time
75208,Medium,Rent,Urban,44,Apartment,5,4,51,Self-employed
72294,Medium,Own,Suburban,42,Townhouse,3,5,61,Part-time
65514,Low,Rent,Urban,13,Townhouse,0,3,41,Self-employed
2548786,High,Rent,Suburban,2,Apartment,0,1,27,Full-time
602241,High,Own,Rural,28,Single-family home,2,7,24,Full-time
72284,Medium,Rent,Urban,10,Townhouse,3,7,42,Full-time
71908,Medium,Rent,Urban,47,Apartment,5,5,34,Part-time
72698,Medium,Own,Urban,32,Single-family home,3,2,34,Self-employed
72074,Medium,Own,Urban,15,Single-family home,0,2,20,Part-time
72638,Medium,Own,Rural,47,Townhouse,1,3,47,Full-time
69060,Low,Own,Urban,3,Townhouse,2,4,20,Self-employed
606300,High,Rent,Urban,33,Apartment,4,4,37,Full-time
38535,Low,Rent,Suburban,13,Single-family home,5,4,44,Part-time
65146,Low,Own,Urban,24,Single-family home,5,4,25,Full-time
69106,Low,Own,Urban,5,Single-family home,4,4,62,Full-time
922721,High,Rent,Suburban,26,Apartment,2,7,39,Full-time
4585964,High,Rent,Rural,12,Single-family home,2,1,54,Self-employed
484991,High,Rent,Suburban,10,Apartment,4,7,36,Full-time
70402,Medium,Rent,Urban,6,Single-family home,0,2,41,Full-time
646374,High,Own,Suburban,21,Apartment,4,5,65,Full-time
242185,High,Own,Urban,49,Apartment,0,7,66,Self-employed
115678,Medium,Rent,Urban,20,Townhouse,3,5,31,Full-time
71246,Medium,Own,Suburban,37,Single-family home,2,6,19,Part-time
2784156,High,Own,Urban,31,Apartment,4,6,43,Part-time
65718,Low,Own,Rural,41,Townhouse,5,3,18,Full-time
202585,High,Rent,Rural,24,Single-family home,3,6,56,Part-time
69170,Low,Own,Urban,18,Single-family home,0,2,54,Part-time
71076,Medium,Own,Suburban,28,Single-family home,4,3,52,Full-time
73034,Medium,Own,Suburban,45,Single-family home,4,3,52,Full-time
65850,Low,Own,Urban,24,Townhouse,2,4,51,Full-time
69368,Low,Rent,Urban,49,Single-family home,2,4,63,Self-employed
6720874,High,Own,Urban,2,Apartment,0,6,53,Full-time
8890316,High,Own,Suburban,35,Apartment,1,7,19,Part-time
70470,Medium,Own,Urban,3,Apartment,2,7,23,Part-time
3344838,High,Own,Suburban,42,Apartment,2,5,41,Part-time
654668,High,Own,Rural,3,Townhouse,0,2,26,Full-time
70992,Medium,Own,Urban,48,Apartment,1,6,63,Full-time
67224,Low,Rent,Urban,48,Single-family home,2,4,42,Part-time
38715,Low,Own,Urban,44,Apartment,5,7,70,Self-employed
100825,Medium,Rent,Urban,46,Apartment,5,6,68,Full-time
6742582,High,Own,Urban,15,Apartment,2,5,70,Full-time
4273787,High,Rent,Urban,17,Apartment,3,3,18,Part-time
69096,Low,Own,Rural,21,Townhouse,5,4,50,Self-employed
68326,Low,Own,Urban,19,Single-family home,3,4,31,Full-time
68174,Low,Rent,Urban,3,Apartment,5,7,63,Full-time
69852,Low,Own,Urban,10,Townhouse,3,6,49,Full-time
71478,Medium,Rent,Urban,28,Townhouse,5,4,21,Part-time
144364,Medium,Rent,Urban,7,Single-family home,1,4,61,Self-employed
3256319,High,Own,Suburban,23,Single-family home,3,1,64,Self-employed
68616,Low,Rent,Urban,15,Apartment,5,3,34,Full-time
71576,Medium,Own,Urban,26,Single-family home,2,7,23,Full-time
69604,Low,Own,Suburban,24,Apartment,1,3,39,Full-time
68214,Low,Rent,Urban,33,Townhouse,0,1,58,Self-employed
70208,Medium,Own,Urban,9,Single-family home,0,1,33,Part-time
69398,Low,Own,Urban,24,Apartment,1,1,56,Full-time
68860,Low,Own,Urban,33,Apartment,2,7,29,Self-employed
65004,Low,Own,Urban,14,Townhouse,2,4,59,Full-time
72598,Medium,Own,Urban,34,Single-family home,0,5,44,Full-time
70230,Medium,Rent,Urban,9,Single-family home,4,1,27,Full-time
68502,Low,Own,Urban,30,Single-family home,0,1,38,Part-time
205362,High,Own,Suburban,7,Apartment,4,3,36,Full-time
68826,Low,Own,Urban,30,Apartment,3,5,21,Full-time
70480,Medium,Own,Urban,47,Apartment,4,3,29,Part-time
43071,Low,Own,Urban,33,Townhouse,3,3,64,Full-time
1281092,High,Own,Urban,24,Townhouse,2,5,63,Self-employed
66798,Low,Rent,Urban,30,Apartment,5,1,59,Full-time
7796491,High,Own,Suburban,50,Apartment,5,1,64,Full-time
65470,Low,Own,Rural,36,Apartment,2,6,40,Full-time
68070,Low,Own,Urban,23,Single-family home,0,3,45,Full-time
101621,Medium,Rent,Suburban,27,Single-family home,4,4,27,Full-time
104430,Medium,Rent,Urban,20,Single-family home,2,3,35,Part-time
73514,Medium,Rent,Urban,47,Single-family home,2,1,43,Part-time
1369722,High,Own,Suburban,14,Apartment,1,4,30,Part-time
65320,Low,Own,Urban,35,Single-family home,0,3,38,Self-employed
77748,Medium,Rent,Urban,6,Apartment,0,7,36,Self-employed
50966,Low,Rent,Urban,1,Single-family home,1,3,45,Part-time
68314,Low,Own,Urban,22,Apartment,1,1,36,Full-time
66004,Low,Rent,Urban,0,Single-family home,4,7,23,Self-employed
74956,Medium,Own,Urban,8,Townhouse,0,2,23,Self-employed
73108,Medium,Rent,Rural,40,Single-family home,2,7,62,Self-employed
72296,Medium,Own,Urban,17,Apartment,1,7,46,Full-time
71472,Medium,Own,Urban,26,Single-family home,3,4,22,Part-time
72020,Medium,Rent,Suburban,4,Single-family home,4,7,69,Part-time
5367499,High,Rent,Urban,41,Single-family home,1,3,48,Full-time
65270,Low,Own,Urban,23,Apartment,1,7,24,Full-time
67080,Low,Rent,Urban,44,Apartment,2,6,21,Full-time
65192,Low,Own,Urban,19,Apartment,0,4,31,Full-time
75144,Medium,Own,Suburban,48,Single-family home,3,3,52,Part-time
73180,Medium,Own,Urban,29,Apartment,4,6,53,Self-employed
73170,Medium,Rent,Urban,2,Single-family home,4,7,57,Full-time
72748,Medium,Own,Urban,42,Single-family home,0,5,49,Full-time
66736,Low,Rent,Suburban,18,Single-family home,5,4,21,Part-time
73398,Medium,Own,Urban,35,Apartment,4,6,56,Self-employed
1436716,High,Rent,Urban,6,Townhouse,2,6,62,Self-employed
75262,Medium,Own,Suburban,15,Single-family home,1,2,63,Full-time
1612320,High,Rent,Urban,44,Single-family home,4,4,50,Part-time
151382,High,Rent,Rural,11,Single-family home,0,3,58,Part-time
75138,Medium,Own,Urban,2,Apartment,4,5,47,Full-time
2981240,High,Own,Rural,5,Single-family home,1,6,25,Self-employed
65630,Low,Own,Suburban,42,Townhouse,4,5,56,Part-time
155591,High,Rent,Urban,6,Townhouse,3,6,51,Self-employed
115602,Medium,Own,Urban,47,Townhouse,1,6,37,Part-time
66606,Low,Own,Urban,33,Townhouse,5,1,27,Part-time
68598,Low,Own,Urban,24,Townhouse,4,3,51,Part-time
72000,Medium,Own,Urban,46,Apartment,3,1,37,Full-time
68830,Low,Rent,Urban,26,Townhouse,0,1,28,Full-time
35854,Low,Rent,Urban,4,Townhouse,3,4,54,Self-employed
64892,Low,Own,Urban,23,Townhouse,1,1,45,Full-time
43297,Low,Rent,Urban,32,Apartment,4,5,42,Self-employed
68132,Low,Own,Urban,40,Single-family home,5,4,64,Self-employed
520635,High,Own,Urban,34,Single-family home,1,3,19,Self-employed
381219,High,Rent,Urban,23,Apartment,0,6,36,Full-time
66384,Low,Own,Urban,25,Single-family home,0,2,67,Part-time
75286,Medium,Own,Urban,41,Apartment,4,2,22,Full-time
70722,Medium,Own,Suburban,39,Apartment,2,5,66,Full-time
72272,Medium,Own,Urban,50,Apartment,5,2,59,Self-employed
73078,Medium,Own,Urban,1,Single-family home,0,1,28,Full-time
5456271,High,Own,Suburban,5,Townhouse,3,1,35,Part-time
73856,Medium,Rent,Urban,0,Apartment,1,1,32,Full-time
66952,Low,Own,Urban,19,Apartment,0,5,35,Full-time
212472,High,Rent,Urban,22,Apartment,0,3,57,Full-time
2071641,High,Rent,Urban,18,Townhouse,2,2,58,Part-time
67118,Low,Own,Suburban,38,Apartment,3,1,22,Part-time
82352,Medium,Rent,Suburban,6,Single-family home,4,3,59,Self-employed
69584,Low,Rent,Rural,40,Apartment,2,2,28,Self-employed
69040,Low,Own,Urban,26,Apartment,5,1,34,Full-time
72992,Medium,Own,Urban,30,Single-family home,1,6,61,Part-time
68022,Low,Rent,Rural,21,Single-family home,2,7,66,Part-time
66808,Low,Own,Urban,34,Apartment,4,3,40,Full-time
104917,Medium,Own,Urban,36,Apartment,2,4,46,Self-employed
73084,Medium,Rent,Urban,21,Apartment,4,4,65,Self-employed
66260,Low,Own,Urban,48,Single-family home,3,7,63,Self-employed
72576,Medium,Rent,Urban,11,Apartment,2,3,36,Full-time
2431318,High,Rent,Urban,26,Apartment,4,3,65,Self-employed
73254,Medium,Rent,Suburban,16,Apartment,5,6,48,Full-time
72614,Medium,Own,Urban,36,Apartment,2,1,42,Self-employed
6236164,High,Rent,Urban,44,Single-family home,5,5,27,Full-time
1085439,High,Rent,Urban,19,Apartment,1,1,56,Self-employed
197836,High,Own,Urban,43,Townhouse,2,5,67,Part-time
67316,Low,Own,Urban,44,Townhouse,5,1,26,Self-employed
6081144,High,Rent,Suburban,41,Single-family home,3,4,63,Part-time
72500,Medium,Own,Urban,20,Apartment,1,7,38,Full-time
73066,Medium,Rent,Urban,42,Apartment,0,2,56,Full-time
541941,High,Rent,Urban,34,Single-family home,3,5,25,Part-time
68242,Low,Own,Urban,32,Apartment,4,3,30,Full-time
8324468,High,Own,Rural,6,Apartment,4,6,61,Full-time
1408418,High,Rent,Urban,32,Single-family home,3,4,36,Full-time
2998435,High,Rent,Urban,42,Townhouse,2,7,63,Full-time
3689619,High,Rent,Urban,4,Single-family home,3,4,28,Full-time
74426,Medium,Own,Urban,15,Townhouse,5,6,42,Full-time
70762,Medium,Rent,Suburban,48,Apartment,4,2,64,Full-time
69104,Low,Own,Urban,10,Single-family home,1,1,54,Full-time
66726,Low,Own,Rural,19,Single-family home,2,5,42,Self-employed
67328,Low,Rent,Urban,35,Townhouse,5,1,18,Full-time
2290589,High,Own,Urban,17,Apartment,4,7,42,Full-time
652324,High,Rent,Urban,40,Single-family home,5,4,34,Full-time
2804376,High,Own,Suburban,18,Apartment,4,3,29,Self-employed
75370,Medium,Own,Suburban,47,Townhouse,2,7,57,Full-time
66772,Low,Own,Urban,41,Apartment,2,7,45,Full-time
71490,Medium,Own,Urban,41,Apartment,4,7,33,Full-time
233571,High,Rent,Urban,30,Apartment,1,7,46,Part-time
66458,Low,Own,Suburban,8,Single-family home,2,1,54,Full-time
203599,High,Own,Urban,38,Townhouse,3,3,68,Full-time
474505,High,Own,Urban,20,Apartment,1,1,40,Self-employed
68604,Low,Own,Urban,0,Apartment,5,6,59,Self-employed
559307,High,Rent,Urban,26,Apartment,4,2,43,Self-employed
6235850,High,Rent,Urban,17,Apartment,4,5,45,Full-time
33104,Low,Rent,Urban,13,Apartment,2,3,55,Full-time
72876,Medium,Own,Urban,30,Apartment,3,4,47,Full-time
73380,Medium,Own,Urban,16,Single-family home,0,2,49,Full-time
1684455,High,Own,Urban,9,Apartment,2,7,54,Full-time
4741058,High,Rent,Urban,1,Townhouse,3,2,45,Self-employed
66378,Low,Own,Urban,44,Single-family home,4,6,28,Full-time
74754,Medium,Own,Urban,19,Townhouse,5,4,67,Part-time
70524,Medium,Own,Urban,28,Single-family home,5,3,26,Full-time
71350,Medium,Own,Urban,18,Single-family home,5,2,27,Part-time
135703,Medium,Rent,Urban,19,Apartment,5,1,50,Self-employed
3554242,High,Rent,Urban,19,Townhouse,3,4,51,Full-time
52928,Low,Own,Rural,8,Apartment,3,3,47,Part-time
201688,High,Rent,Suburban,24,Apartment,2,7,70,Self-employed
65214,Low,Own,Urban,34,Single-family home,5,2,48,Self-employed
74782,Medium,Rent,Suburban,0,Apartment,2,2,33,Self-employed
2396933,High,Own,Rural,38,Apartment,2,2,45,Part-time
7127584,High,Rent,Urban,50,Townhouse,3,6,32,Part-time
145574,Medium,Rent,Suburban,27,Single-family home,5,5,30,Part-time
74662,Medium,Rent,Urban,39,Apartment,5,1,59,Full-time
73068,Medium,Own,Urban,2,Single-family home,5,5,70,Self-employed
146119,Medium,Rent,Suburban,13,Apartment,3,1,57,Part-time
199158,High,Own,Rural,24,Apartment,5,3,46,Full-time
98860,Medium,Rent,Suburban,50,Single-family home,3,5,45,Part-time
74294,Medium,Own,Urban,49,Townhouse,1,7,68,Full-time
224313,High,Rent,Urban,20,Apartment,3,1,21,Full-time
6574542,High,Rent,Urban,44,Single-family home,1,5,65,Full-time
341511,High,Own,Rural,14,Apartment,0,7,29,Full-time
75352,Medium,Rent,Urban,33,Apartment,3,5,48,Full-time
68070,Low,Own,Urban,48,Single-family home,4,4,44,Full-time
74562,Medium,Own,Urban,16,Townhouse,1,5,47,Self-employed
72500,Medium,Own,Urban,46,Single-family home,4,2,42,Full-time
71332,Medium,Own,Urban,46,Apartment,0,6,37,Full-time
9550359,High,Rent,Rural,27,Apartment,0,4,25,Self-employed
70850,Medium,Own,Urban,39,Single-family home,0,7,51,Full-time
72116,Medium,Own,Urban,19,Townhouse,3,5,67,Part-time
462219,High,Own,Urban,31,Townhouse,5,4,68,Self-employed
3943027,High,Own,Urban,13,Apartment,4,5,58,Full-time
67774,Low,Own,Urban,2,Apartment,3,1,50,Full-time
476537,High,Own,Urban,44,Townhouse,1,4,30,Full-time
75462,Medium,Own,Urban,4,Apartment,0,7,69,Full-time
74030,Medium,Own,Suburban,34,Apartment,3,1,26,Full-time
186611,High,Rent,Rural,11,Single-family home,0,3,39,Part-time
66826,Low,Own,Suburban,0,Apartment,1,5,54,Full-time
70984,Medium,Rent,Urban,23,Apartment,1,1,40,Full-time
72528,Medium,Rent,Urban,1,Single-family home,2,2,18,Part-time
69448,Low,Own,Suburban,46,Single-family home,3,7,59,Self-employed
1746975,High,Own,Urban,27,Single-family home,5,5,59,Part-time
85314,Medium,Own,Urban,21,Townhouse,0,2,51,Full-time
67712,Low,Own,Urban,40,Single-family home,3,2,34,Full-time
60574,Low,Rent,Rural,28,Apartment,5,6,33,Self-employed
67458,Low,Rent,Urban,9,Apartment,1,5,70,Full-time
546575,High,Rent,Urban,14,Apartment,0,2,66,Full-time
67546,Low,Own,Urban,44,Apartment,0,7,63,Self-employed
74520,Medium,Own,Urban,8,Apartment,1,5,46,Full-time
74670,Medium,Own,Urban,5,Townhouse,0,3,38,Full-time
