Income,Living_Standards,Homeownership_Status,Location,Work_Experience,Type_of_Housing,Number_of_Dependents,Household_Size,Age,Employment_Status
67278,Low,Own,Rural,47,Single-family home,1,4,25,Part-time
66124,Low,Own,Rural,9,Apartment,0,3,44,Full-time
2526190,High,Own,Suburban,36,Apartment,5,4,26,Full-time
70444,Medium,Own,Urban,49,Apartment,0,5,54,Self-employed
6730067,High,Rent,Urban,21,Townhouse,2,1,50,Full-time
75497,Medium,Rent,Urban,10,Apartment,1,6,68,Part-time
265239,High,Own,Urban,34,Single-family home,2,5,59,Self-employed
67380,Low,Rent,Urban,8,Single-family home,1,7,61,Part-time
62367,Low,Own,Urban,14,Townhouse,5,1,41,Full-time
68888,Low,Rent,Urban,50,Apartment,4,7,32,Full-time
118467,Medium,Rent,Rural,18,Townhouse,3,5,49,Part-time
1845016,High,Rent,Urban,36,Single-family home,5,1,49,Self-employed
1836641,High,Rent,Urban,5,Apartment,5,6,41,Self-employed
1710378,High,Rent,Urban,35,Townhouse,3,3,58,Part-time
74072,Medium,Own,Urban,43,Apartment,2,1,69,Full-time
66420,Low,Rent,Suburban,4,Single-family home,5,4,66,Full-time
192980,High,Own,Urban,2,Single-family home,1,5,66,Part-time
66382,Low,Rent,Urban,9,Townhouse,0,2,69,Full-time
75288,Medium,Own,Urban,12,Townhouse,5,7,29,Self-employed
71626,Medium,Own,Urban,3,Single-family home,3,3,56,Full-time
65114,Low,Own,Urban,39,Apartment,5,6,19,Full-time
73568,Medium,Own,Urban,32,Single-family home,2,5,20,Full-time
65804,Low,Own,Urban,33,Apartment,2,3,66,Full-time
74500,Medium,Rent,Urban,35,Single-family home,2,2,54,Part-time
73370,Medium,Own,Suburban,32,Apartment,1,2,66,Full-time
707141,High,Rent,Urban,20,Townhouse,5,2,34,Part-time
73038,Medium,Own,Urban,38,Single-family home,2,2,66,Part-time
65250,Low,Own,Urban,4,Apartment,4,2,19,Full-time
317203,High,Own,Urban,44,Apartment,0,4,19,Full-time
67264,Low,Own,Urban,12,Apartment,2,1,45,Self-employed
69482,Low,Own,Urban,39,Apartment,1,7,40,Full-time
73858,Medium,Own,Urban,16,Single-family home,0,2,54,Part-time
6454062,High,Own,Urban,9,Apartment,0,5,49,Full-time
750717,High,Rent,Urban,9,Townhouse,3,5,50,Part-time
72528,Medium,Rent,Urban,1,Single-family home,2,2,18,Part-time
401941,High,Rent,Rural,37,Single-family home,2,3,36,Full-time
71028,Medium,Rent,Urban,20,Apartment,5,2,19,Self-employed
71208,Medium,Own,Urban,0,Single-family home,1,6,70,Full-time
71800,Medium,Rent,Rural,29,Single-family home,4,7,61,Full-time
472998,High,Rent,Urban,17,Single-family home,5,4,43,Full-time
407919,High,Rent,Urban,34,Single-family home,4,6,49,Self-employed
2551452,High,Rent,Urban,38,Single-family home,3,1,23,Full-time
68608,Low,Own,Urban,47,Apartment,4,5,49,Part-time
72812,Medium,Rent,Urban,21,Apartment,1,7,21,Part-time
74746,Medium,Own,Rural,2,Single-family home,3,7,28,Full-time
65036,Low,Own,Urban,5,Townhouse,2,2,34,Part-time
74706,Medium,Own,Urban,35,Single-family home,4,1,55,Part-time
833690,High,Rent,Urban,15,Townhouse,1,1,41,Part-time
101202,Medium,Own,Urban,2,Apartment,1,2,22,Full-time
69012,Low,Own,Urban,35,Apartment,2,7,69,Self-employed
5254469,High,Own,Urban,10,Apartment,1,1,51,Full-time
65128,Low,Own,Urban,16,Single-family home,3,5,23,Part-time
99893,Medium,Rent,Urban,18,Apartment,3,2,39,Self-employed
68770,Low,Own,Suburban,7,Single-family home,5,3,28,Full-time
66868,Low,Own,Urban,13,Single-family home,0,2,65,Full-time
66600,Low,Own,Urban,25,Single-family home,2,5,33,Full-time
69910,Low,Own,Urban,47,Single-family home,1,2,50,Part-time
66516,Low,Own,Urban,24,Apartment,4,2,26,Part-time
70090,Medium,Own,Urban,50,Apartment,5,7,23,Self-employed
73576,Medium,Own,Suburban,47,Apartment,3,2,33,Full-time
64964,Low,Own,Urban,9,Townhouse,2,4,46,Self-employed
1063873,High,Rent,Urban,31,Single-family home,2,4,20,Full-time
69164,Low,Rent,Rural,14,Apartment,3,5,37,Self-employed
70450,Medium,Rent,Urban,3,Single-family home,0,1,53,Full-time
74906,Medium,Own,Suburban,27,Apartment,2,7,36,Full-time
73946,Medium,Own,Urban,3,Single-family home,1,2,43,Full-time
73820,Medium,Own,Urban,12,Townhouse,4,7,20,Full-time
1391677,High,Own,Rural,11,Single-family home,4,2,36,Full-time
66282,Low,Own,Suburban,14,Single-family home,3,7,37,Full-time
75122,Medium,Rent,Urban,28,Townhouse,2,6,49,Full-time
68860,Low,Rent,Urban,22,Single-family home,4,4,24,Part-time
65288,Low,Own,Urban,12,Single-family home,2,3,69,Full-time
974747,High,Rent,Urban,37,Townhouse,3,6,58,Full-time
65708,Low,Own,Rural,45,Single-family home,0,4,50,Self-employed
65766,Low,Own,Urban,34,Single-family home,4,1,57,Full-time
2323652,High,Rent,Urban,39,Single-family home,1,6,56,Full-time
65822,Low,Rent,Suburban,11,Single-family home,5,2,35,Full-time
58154,Low,Rent,Suburban,29,Apartment,3,2,57,Part-time
71792,Medium,Rent,Urban,45,Apartment,5,7,18,Full-time
39006,Low,Own,Suburban,4,Apartment,0,5,28,Full-time
50966,Low,Rent,Urban,1,Single-family home,1,3,45,Part-time
74538,Medium,Rent,Suburban,41,Townhouse,5,5,42,Full-time
70206,Medium,Own,Urban,29,Apartment,1,3,67,Full-time
2961188,High,Own,Rural,34,Apartment,4,6,40,Full-time
66452,Low,Own,Urban,9,Apartment,2,6,48,Full-time
1677649,High,Own,Urban,8,Apartment,3,3,47,Full-time
69790,Low,Own,Urban,16,Single-family home,1,6,59,Full-time
9465391,High,Own,Suburban,37,Apartment,4,3,52,Self-employed
65184,Low,Own,Suburban,29,Townhouse,0,3,24,Full-time
2657512,High,Own,Urban,40,Townhouse,1,5,33,Full-time
68914,Low,Own,Urban,34,Single-family home,0,2,43,Full-time
72136,Medium,Own,Urban,6,Apartment,3,2,65,Full-time
71444,Medium,Own,Urban,11,Apartment,4,6,69,Full-time
242185,High,Own,Urban,49,Apartment,0,7,66,Self-employed
73748,Medium,Own,Urban,41,Single-family home,2,5,19,Full-time
31530,Low,Rent,Urban,33,Townhouse,5,6,18,Part-time
68060,Low,Own,Urban,48,Single-family home,0,4,65,Self-employed
321241,High,Own,Rural,2,Single-family home,0,7,29,Full-time
709613,High,Rent,Urban,32,Townhouse,4,6,22,Part-time
73098,Medium,Own,Urban,39,Apartment,4,1,54,Part-time
168629,High,Rent,Urban,12,Apartment,1,3,49,Full-time
424392,High,Own,Urban,10,Apartment,5,7,26,Full-time
74676,Medium,Rent,Urban,39,Single-family home,0,7,58,Full-time
69756,Low,Own,Urban,19,Apartment,0,7,52,Full-time
67236,Low,Own,Urban,30,Townhouse,4,5,36,Part-time
68754,Low,Own,Urban,32,Townhouse,2,3,65,Part-time
410511,High,Rent,Urban,33,Townhouse,4,3,33,Part-time
1576578,High,Rent,Urban,49,Single-family home,2,3,20,Full-time
70778,Medium,Rent,Urban,49,Single-family home,5,5,37,Self-employed
65736,Low,Own,Urban,8,Townhouse,4,2,41,Full-time
243355,High,Rent,Urban,6,Apartment,5,4,50,Full-time
71478,Medium,Own,Urban,8,Single-family home,3,4,41,Part-time
66494,Low,Own,Urban,41,Single-family home,0,6,69,Self-employed
67960,Low,Own,Suburban,25,Apartment,5,5,28,Full-time
72844,Medium,Rent,Rural,1,Townhouse,2,1,66,Part-time
4147945,High,Own,Urban,4,Single-family home,3,4,25,Full-time
155898,High,Own,Urban,48,Townhouse,2,4,53,Full-time
1067448,High,Own,Urban,1,Apartment,1,3,55,Full-time
67326,Low,Own,Urban,9,Townhouse,1,5,57,Full-time
68582,Low,Own,Urban,30,Apartment,0,6,37,Full-time
73552,Medium,Own,Urban,32,Single-family home,3,6,52,Part-time
71192,Medium,Own,Suburban,43,Single-family home,3,2,65,Full-time
950366,High,Rent,Urban,46,Apartment,1,5,42,Part-time
113193,Medium,Rent,Rural,5,Single-family home,0,5,52,Part-time
2368468,High,Own,Urban,13,Apartment,5,4,42,Full-time
652296,High,Rent,Urban,13,Apartment,1,7,46,Part-time
74836,Medium,Rent,Urban,14,Single-family home,3,7,35,Part-time
69946,Low,Own,Urban,32,Single-family home,2,7,63,Full-time
4625741,High,Own,Rural,30,Single-family home,3,3,35,Full-time
69554,Low,Rent,Urban,16,Single-family home,0,7,19,Self-employed
66282,Low,Own,Urban,42,Apartment,3,5,52,Self-employed
8736449,High,Own,Urban,14,Apartment,4,2,33,Full-time
663751,High,Rent,Urban,19,Townhouse,3,3,58,Self-employed
8032384,High,Rent,Urban,47,Townhouse,4,3,53,Part-time
75064,Medium,Own,Urban,20,Townhouse,1,2,50,Full-time
7474870,High,Rent,Urban,28,Apartment,5,2,21,Self-employed
2302264,High,Own,Rural,8,Apartment,4,6,50,Self-employed
65910,Low,Own,Urban,28,Townhouse,3,2,31,Full-time
291614,High,Own,Urban,43,Single-family home,5,5,38,Full-time
1257727,High,Own,Urban,33,Townhouse,5,6,65,Self-employed
65544,Low,Rent,Suburban,46,Single-family home,3,3,37,Full-time
302344,High,Rent,Urban,8,Townhouse,3,6,25,Full-time
66970,Low,Own,Rural,47,Apartment,0,3,24,Self-employed
74584,Medium,Rent,Urban,29,Townhouse,1,1,20,Full-time
71076,Medium,Own,Urban,16,Townhouse,4,7,34,Part-time
74302,Medium,Own,Urban,3,Apartment,2,1,50,Full-time
3179478,High,Rent,Rural,39,Single-family home,4,7,65,Full-time
69444,Low,Own,Urban,31,Apartment,3,1,29,Full-time
75402,Medium,Own,Urban,31,Apartment,2,6,68,Full-time
3757718,High,Own,Urban,6,Apartment,2,5,39,Full-time
2771585,High,Own,Urban,37,Apartment,4,6,39,Part-time
4575920,High,Own,Urban,31,Single-family home,4,5,63,Part-time
131424,Medium,Rent,Suburban,4,Single-family home,4,2,47,Part-time
66776,Low,Own,Rural,41,Single-family home,4,5,55,Part-time
1092686,High,Rent,Rural,2,Single-family home,1,3,55,Full-time
1984216,High,Rent,Urban,19,Apartment,0,3,62,Self-employed
9528817,High,Own,Urban,16,Apartment,0,7,68,Full-time
69116,Low,Own,Urban,15,Townhouse,4,6,25,Full-time
1884378,High,Own,Urban,10,Single-family home,0,7,44,Part-time
59242,Low,Rent,Suburban,12,Single-family home,4,4,44,Full-time
65782,Low,Own,Urban,17,Apartment,4,4,51,Full-time
68102,Low,Own,Suburban,13,Single-family home,4,7,38,Self-employed
70618,Medium,Own,Suburban,33,Townhouse,5,5,47,Full-time
68002,Low,Rent,Urban,11,Single-family home,1,7,50,Part-time
68984,Low,Rent,Urban,21,Single-family home,3,6,45,Self-employed
6610482,High,Rent,Urban,20,Single-family home,0,6,64,Self-employed
4851486,High,Rent,Urban,25,Single-family home,0,4,50,Full-time
72492,Medium,Own,Urban,41,Single-family home,1,5,22,Full-time
1614050,High,Rent,Rural,38,Apartment,1,2,65,Part-time
708359,High,Rent,Urban,1,Apartment,4,2,36,Full-time
72356,Medium,Own,Urban,49,Apartment,4,4,21,Part-time
74404,Medium,Rent,Suburban,48,Apartment,5,5,52,Part-time
66020,Low,Rent,Suburban,15,Single-family home,5,4,66,Part-time
74066,Medium,Own,Suburban,33,Townhouse,3,3,34,Part-time
70822,Medium,Rent,Urban,10,Single-family home,0,5,61,Self-employed
68752,Low,Own,Urban,18,Single-family home,1,1,45,Full-time
66010,Low,Rent,Urban,29,Townhouse,3,3,47,Part-time
72678,Medium,Rent,Urban,6,Townhouse,0,5,46,Full-time
69186,Low,Rent,Urban,26,Apartment,3,4,63,Full-time
68940,Low,Own,Urban,21,Apartment,3,6,70,Full-time
9504728,High,Own,Rural,16,Single-family home,4,4,23,Part-time
68968,Low,Own,Urban,14,Single-family home,3,4,52,Self-employed
69374,Low,Own,Urban,8,Townhouse,4,5,58,Part-time
1509022,High,Own,Urban,11,Townhouse,0,4,54,Full-time
41463,Low,Rent,Urban,7,Townhouse,5,7,41,Part-time
427162,High,Own,Urban,1,Single-family home,0,7,46,Full-time
5875038,High,Rent,Urban,48,Single-family home,4,5,66,Part-time
68144,Low,Own,Rural,47,Single-family home,5,7,63,Self-employed
6742582,High,Own,Urban,15,Apartment,2,5,70,Full-time
376228,High,Own,Urban,2,Apartment,5,4,48,Full-time
875247,High,Rent,Urban,50,Single-family home,3,2,52,Full-time
68108,Low,Rent,Urban,47,Single-family home,0,2,50,Full-time
347682,High,Own,Rural,30,Townhouse,3,7,69,Part-time
67886,Low,Own,Urban,42,Apartment,5,3,38,Full-time
65588,Low,Own,Urban,25,Apartment,2,5,49,Full-time
67420,Low,Rent,Urban,40,Townhouse,3,4,40,Part-time
2449031,High,Rent,Suburban,45,Apartment,2,6,50,Self-employed
3180080,High,Rent,Urban,1,Single-family home,1,7,20,Full-time
70094,Medium,Own,Urban,29,Apartment,2,4,35,Full-time
3352411,High,Rent,Urban,12,Townhouse,0,4,42,Full-time
282378,High,Own,Rural,36,Single-family home,5,2,59,Full-time
5406118,High,Own,Suburban,13,Apartment,4,1,48,Full-time
66266,Low,Own,Urban,0,Apartment,4,6,20,Self-employed
73716,Medium,Own,Suburban,31,Townhouse,3,5,57,Full-time
65108,Low,Own,Urban,5,Townhouse,5,3,63,Full-time
71940,Medium,Own,Urban,21,Apartment,1,3,41,Full-time
72684,Medium,Own,Urban,10,Apartment,3,7,67,Self-employed
67978,Low,Rent,Suburban,48,Apartment,2,3,49,Full-time
67578,Low,Own,Urban,22,Single-family home,4,5,64,Part-time
72694,Medium,Own,Suburban,13,Apartment,2,5,39,Part-time
72422,Medium,Rent,Urban,13,Townhouse,4,3,40,Self-employed
7754985,High,Own,Suburban,19,Single-family home,4,3,19,Full-time
284787,High,Rent,Urban,6,Apartment,4,4,44,Full-time
70208,Medium,Rent,Urban,18,Apartment,5,6,59,Part-time
65090,Low,Own,Urban,25,Single-family home,0,1,19,Part-time
70148,Medium,Rent,Urban,21,Single-family home,5,2,43,Part-time
205795,High,Own,Urban,5,Apartment,2,5,34,Part-time
70734,Medium,Own,Urban,12,Single-family home,5,1,57,Part-time
901570,High,Own,Rural,9,Single-family home,3,3,50,Self-employed
75218,Medium,Own,Urban,18,Apartment,1,7,26,Self-employed
70914,Medium,Own,Urban,30,Apartment,3,6,60,Full-time
