Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income,Age_Group,Income_Category,Cluster
26,Bachelor's,Technology,3,Urban,29,Married,Part-time,7,Rent,Townhouse,Male,Car,5350468,18-30,High,0
56,Bachelor's,Healthcare,2,Urban,3,Married,Self-employed,7,Own,Single-family home,Female,Biking,74820,46-60,Medium,2
35,Bachelor's,Technology,5,Urban,20,Married,Self-employed,1,Rent,Apartment,Male,Biking,590478,31-45,High,2
21,Bachelor's,Education,4,Urban,29,Married,Part-time,4,Own,Apartment,Female,Car,1248886,18-30,High,1
42,High School,Healthcare,3,Urban,32,Single,Part-time,4,Own,Single-family home,Male,Public transit,65970,31-45,Low,1
31,Master's,Education,0,Suburban,42,Single,Full-time,5,Own,Apartment,Female,Car,68644,31-45,Low,1
67,Bachelor's,Others,4,Suburban,25,Married,Full-time,5,Rent,Apartment,Male,Car,68054,61-70,Low,2
26,Bachelor's,Education,3,Urban,1,Married,Part-time,2,Rent,Single-family home,Female,Car,74042,18-30,Medium,2
43,Doctorate,Education,0,Urban,22,Married,Part-time,4,Rent,Townhouse,Female,Car,71074,31-45,Medium,2
70,Master's,Education,3,Urban,30,Married,Part-time,7,Own,Apartment,Male,Public transit,9061674,61-70,High,0
19,High School,Healthcare,4,Rural,3,Married,Self-employed,3,Own,Single-family home,Female,Public transit,66402,18-30,Low,2
37,Master's,Healthcare,0,Urban,46,Married,Full-time,6,Own,Apartment,Female,Car,71332,31-45,Medium,1
45,High School,Finance,3,Urban,19,Single,Full-time,3,Own,Single-family home,Male,Biking,74462,31-45,Medium,2
64,High School,Others,2,Urban,24,Married,Part-time,6,Own,Single-family home,Female,Biking,7166308,61-70,High,0
24,Bachelor's,Healthcare,0,Urban,44,Married,Full-time,2,Rent,Single-family home,Male,Public transit,71986,18-30,Medium,1
61,Doctorate,Technology,3,Urban,0,Divorced,Part-time,4,Own,Single-family home,Female,Car,65652,61-70,Low,2
25,High School,Others,2,Suburban,1,Married,Part-time,1,Own,Single-family home,Male,Biking,73092,18-30,Medium,2
64,Bachelor's,Healthcare,0,Urban,5,Married,Part-time,6,Own,Apartment,Female,Car,1142923,61-70,High,2
52,High School,Healthcare,3,Urban,6,Married,Full-time,7,Own,Apartment,Male,Car,215911,46-60,High,2
31,Master's,Others,4,Urban,50,Married,Full-time,3,Own,Single-family home,Male,Public transit,73718,31-45,Medium,1
34,Bachelor's,Finance,0,Urban,3,Married,Full-time,5,Own,Apartment,Female,Walking,67916,31-45,Low,2
53,Bachelor's,Healthcare,0,Urban,17,Married,Part-time,3,Rent,Single-family home,Female,Biking,158392,46-60,High,2
67,High School,Education,2,Suburban,40,Married,Full-time,4,Own,Apartment,Male,Car,5227297,61-70,High,0
57,Master's,Healthcare,5,Urban,42,Single,Part-time,6,Rent,Townhouse,Male,Biking,4232118,46-60,High,0
21,Doctorate,Education,5,Urban,4,Married,Full-time,3,Own,Apartment,Male,Public transit,66784,18-30,Low,2
19,Bachelor's,Finance,3,Suburban,24,Single,Self-employed,2,Own,Single-family home,Male,Car,72016,18-30,Medium,2
23,Bachelor's,Technology,4,Urban,0,Married,Self-employed,7,Rent,Apartment,Female,Public transit,75104,18-30,Medium,2
59,Master's,Technology,2,Urban,33,Married,Full-time,7,Rent,Apartment,Male,Biking,5004178,46-60,High,0
21,High School,Education,0,Urban,2,Single,Part-time,5,Own,Townhouse,Female,Public transit,180722,18-30,High,2
46,Master's,Healthcare,5,Suburban,16,Married,Full-time,2,Own,Apartment,Female,Public transit,5324279,46-60,High,0
35,Master's,Healthcare,2,Urban,31,Single,Part-time,1,Own,Apartment,Male,Walking,71180,31-45,Medium,1
43,High School,Finance,2,Urban,23,Single,Full-time,1,Own,Apartment,Female,Public transit,74094,31-45,Medium,2
61,Bachelor's,Technology,2,Urban,1,Single,Part-time,1,Rent,Apartment,Male,Public transit,49810,61-70,Low,2
51,High School,Healthcare,0,Urban,0,Married,Full-time,1,Own,Apartment,Male,Biking,68654,46-60,Low,2
27,Bachelor's,Education,1,Suburban,33,Single,Self-employed,4,Own,Single-family home,Male,Walking,66480,18-30,Low,1
53,Bachelor's,Finance,2,Urban,7,Single,Full-time,4,Own,Apartment,Female,Walking,66764,46-60,Low,2
31,Bachelor's,Technology,1,Suburban,44,Single,Self-employed,4,Rent,Apartment,Female,Biking,71224,31-45,Medium,1
48,Bachelor's,Education,5,Urban,45,Single,Full-time,2,Own,Apartment,Male,Biking,68174,46-60,Low,1
65,High School,Healthcare,4,Urban,43,Single,Full-time,2,Rent,Apartment,Male,Walking,82524,61-70,Medium,1
32,Bachelor's,Healthcare,5,Suburban,8,Married,Part-time,7,Rent,Single-family home,Male,Biking,66704,31-45,Low,2
25,High School,Finance,4,Urban,27,Married,Self-employed,3,Own,Townhouse,Male,Public transit,659147,18-30,High,1
31,Master's,Technology,4,Urban,18,Divorced,Part-time,5,Own,Townhouse,Female,Car,66424,31-45,Low,2
40,High School,Finance,5,Urban,19,Single,Full-time,2,Own,Townhouse,Female,Biking,72678,31-45,Medium,2
57,Master's,Others,3,Urban,6,Married,Self-employed,3,Rent,Single-family home,Male,Public transit,53957,46-60,Low,2
38,Bachelor's,Others,0,Urban,41,Single,Part-time,1,Rent,Apartment,Male,Walking,41398,31-45,Low,1
33,Bachelor's,Healthcare,1,Rural,34,Single,Full-time,1,Own,Single-family home,Male,Car,71576,31-45,Medium,1
62,Master's,Healthcare,3,Suburban,18,Single,Part-time,7,Rent,Apartment,Female,Walking,67830,61-70,Low,2
35,Bachelor's,Technology,1,Rural,16,Single,Part-time,2,Own,Single-family home,Female,Walking,3059562,31-45,High,2
64,Bachelor's,Healthcare,0,Rural,39,Married,Part-time,4,Own,Single-family home,Female,Car,67232,61-70,Low,1
70,High School,Finance,2,Urban,17,Married,Part-time,7,Own,Townhouse,Male,Biking,69764,61-70,Low,2
41,Bachelor's,Others,5,Urban,6,Married,Self-employed,3,Rent,Apartment,Male,Public transit,5671675,31-45,High,0
43,High School,Technology,3,Urban,26,Divorced,Self-employed,6,Rent,Apartment,Female,Car,796904,31-45,High,1
42,High School,Healthcare,0,Suburban,38,Married,Part-time,7,Rent,Single-family home,Male,Public transit,555011,31-45,High,1
62,Bachelor's,Healthcare,5,Urban,29,Married,Full-time,5,Own,Apartment,Male,Biking,69034,61-70,Low,1
58,High School,Education,3,Urban,22,Married,Part-time,3,Own,Townhouse,Male,Public transit,66248,46-60,Low,2
46,High School,Finance,4,Urban,19,Married,Self-employed,4,Own,Apartment,Male,Public transit,73590,46-60,Medium,2
32,High School,Education,3,Urban,22,Married,Full-time,6,Own,Single-family home,Male,Car,68070,31-45,Low,2
62,High School,Healthcare,2,Urban,25,Single,Part-time,4,Own,Single-family home,Female,Car,67766,61-70,Low,2
18,High School,Healthcare,2,Urban,47,Married,Part-time,2,Rent,Apartment,Female,Walking,67192,,Low,1
42,Doctorate,Others,1,Suburban,46,Married,Part-time,7,Own,Apartment,Male,Car,73634,31-45,Medium,1
24,High School,Technology,3,Urban,13,Married,Self-employed,7,Own,Townhouse,Male,Public transit,71594,18-30,Medium,2
26,Bachelor's,Others,4,Rural,47,Married,Full-time,7,Own,Apartment,Male,Car,351674,18-30,High,1
41,High School,Finance,2,Urban,30,Married,Part-time,4,Rent,Apartment,Male,Biking,171792,31-45,High,1
18,Master's,Technology,1,Rural,26,Divorced,Full-time,4,Own,Apartment,Male,Biking,71314,,Medium,1
61,High School,Healthcare,4,Urban,8,Married,Self-employed,5,Rent,Single-family home,Male,Car,71448,61-70,Medium,2
25,Doctorate,Education,4,Suburban,22,Single,Full-time,4,Rent,Apartment,Male,Biking,5726383,18-30,High,0
41,Bachelor's,Technology,4,Urban,9,Single,Self-employed,6,Own,Single-family home,Male,Public transit,69570,31-45,Low,2
28,High School,Others,0,Urban,46,Single,Full-time,1,Own,Apartment,Female,Biking,70452,18-30,Medium,1
68,Master's,Healthcare,2,Suburban,22,Married,Full-time,4,Rent,Townhouse,Female,Car,74538,61-70,Medium,2
34,Bachelor's,Healthcare,0,Urban,9,Single,Full-time,1,Own,Single-family home,Male,Public transit,68190,31-45,Low,2
25,High School,Technology,0,Urban,1,Married,Part-time,5,Rent,Apartment,Male,Car,65872,18-30,Low,2
52,Master's,Healthcare,2,Urban,36,Married,Full-time,6,Own,Townhouse,Male,Public transit,157265,46-60,High,1
52,Master's,Technology,3,Urban,39,Married,Full-time,2,Own,Apartment,Male,Car,66008,46-60,Low,1
50,Bachelor's,Healthcare,5,Urban,37,Single,Part-time,1,Own,Townhouse,Female,Public transit,72046,46-60,Medium,1
22,Bachelor's,Healthcare,1,Urban,37,Single,Self-employed,2,Own,Apartment,Male,Biking,71618,18-30,Medium,1
59,Master's,Education,5,Urban,0,Single,Self-employed,6,Own,Apartment,Female,Car,68604,46-60,Low,2
56,Bachelor's,Technology,5,Urban,47,Married,Full-time,6,Rent,Single-family home,Female,Car,70880,46-60,Medium,1
58,Master's,Technology,5,Suburban,17,Single,Part-time,7,Rent,Single-family home,Male,Biking,274241,46-60,High,2
45,Bachelor's,Healthcare,5,Urban,34,Married,Part-time,6,Own,Apartment,Female,Public transit,70658,31-45,Medium,1
24,High School,Others,2,Urban,6,Single,Part-time,6,Rent,Townhouse,Female,Public transit,4855305,18-30,High,0
26,Master's,Healthcare,5,Urban,43,Married,Full-time,2,Own,Single-family home,Female,Public transit,68752,18-30,Low,1
25,High School,Healthcare,1,Urban,41,Divorced,Part-time,1,Own,Apartment,Male,Public transit,71456,18-30,Medium,1
29,High School,Technology,3,Urban,21,Married,Part-time,3,Own,Single-family home,Female,Public transit,73072,18-30,Medium,2
51,Bachelor's,Healthcare,2,Urban,24,Single,Full-time,4,Own,Townhouse,Male,Public transit,65850,46-60,Low,2
50,Bachelor's,Technology,5,Rural,41,Married,Full-time,7,Own,Apartment,Female,Public transit,5908245,46-60,High,0
65,High School,Others,4,Suburban,22,Single,Full-time,5,Rent,Townhouse,Male,Biking,128166,61-70,Medium,2
40,Master's,Technology,2,Urban,8,Single,Self-employed,6,Own,Apartment,Male,Public transit,72296,31-45,Medium,2
41,Bachelor's,Technology,3,Urban,26,Single,Self-employed,2,Own,Apartment,Male,Public transit,75062,31-45,Medium,1
54,Bachelor's,Technology,5,Urban,10,Single,Full-time,3,Own,Apartment,Male,Biking,67804,46-60,Low,2
52,Master's,Healthcare,0,Rural,50,Married,Part-time,2,Own,Apartment,Female,Car,7897514,46-60,High,0
61,Bachelor's,Education,2,Rural,26,Married,Full-time,3,Own,Apartment,Male,Public transit,196973,61-70,High,1
57,High School,Education,4,Urban,39,Married,Part-time,5,Own,Apartment,Male,Car,1034725,46-60,High,1
39,High School,Others,2,Urban,27,Single,Full-time,7,Own,Single-family home,Male,Public transit,70090,31-45,Medium,1
44,Doctorate,Healthcare,0,Urban,17,Married,Full-time,3,Own,Apartment,Male,Biking,302646,31-45,High,2
52,High School,Technology,2,Urban,35,Single,Self-employed,7,Own,Single-family home,Male,Public transit,37821,46-60,Low,1
18,Bachelor's,Others,4,Urban,33,Single,Part-time,7,Rent,Townhouse,Male,Public transit,141058,,Medium,1
52,Bachelor's,Finance,3,Urban,12,Single,Full-time,7,Rent,Apartment,Female,Public transit,289709,46-60,High,2
54,Bachelor's,Others,4,Urban,45,Married,Full-time,5,Rent,Single-family home,Female,Biking,414718,46-60,High,1
64,High School,Technology,3,Urban,29,Married,Self-employed,4,Rent,Apartment,Male,Public transit,1309591,61-70,High,1
31,Bachelor's,Education,4,Urban,27,Single,Full-time,6,Own,Single-family home,Female,Public transit,69850,31-45,Low,1
20,Bachelor's,Finance,1,Suburban,21,Divorced,Part-time,6,Own,Single-family home,Male,Car,71056,18-30,Medium,2
18,Doctorate,Healthcare,2,Urban,23,Single,Full-time,7,Rent,Townhouse,Female,Car,72410,,Medium,2
22,High School,Healthcare,2,Urban,46,Married,Full-time,6,Rent,Townhouse,Male,Public transit,66540,18-30,Low,1
43,Bachelor's,Finance,0,Suburban,29,Single,Part-time,3,Own,Apartment,Male,Car,71384,31-45,Medium,1
31,Bachelor's,Technology,1,Urban,44,Married,Self-employed,6,Own,Single-family home,Female,Car,3336052,31-45,High,1
56,Bachelor's,Others,0,Urban,37,Married,Full-time,2,Rent,Apartment,Male,Car,279868,46-60,High,1
44,Bachelor's,Others,2,Urban,19,Married,Full-time,4,Own,Single-family home,Female,Public transit,66088,31-45,Low,2
26,High School,Others,0,Urban,5,Single,Self-employed,2,Own,Townhouse,Female,Car,70662,18-30,Medium,2
32,High School,Healthcare,3,Urban,32,Married,Part-time,2,Rent,Apartment,Female,Walking,67500,31-45,Low,1
32,Master's,Technology,1,Suburban,46,Married,Part-time,4,Own,Single-family home,Male,Public transit,66212,31-45,Low,1
43,Bachelor's,Finance,4,Urban,37,Married,Full-time,4,Rent,Apartment,Male,Car,3345291,31-45,High,1
59,Bachelor's,Others,3,Urban,14,Single,Full-time,5,Own,Townhouse,Female,Biking,66304,46-60,Low,2
30,High School,Education,5,Suburban,14,Single,Full-time,7,Own,Apartment,Female,Car,33597,18-30,Low,2
68,High School,Healthcare,4,Urban,31,Single,Part-time,3,Own,Apartment,Female,Biking,3063006,61-70,High,1
49,High School,Others,0,Urban,13,Single,Full-time,5,Rent,Apartment,Male,Public transit,73012,46-60,Medium,2
56,High School,Education,2,Urban,41,Single,Part-time,1,Own,Single-family home,Male,Public transit,74986,46-60,Medium,1
66,Bachelor's,Technology,3,Urban,7,Single,Part-time,1,Rent,Single-family home,Female,Public transit,65862,61-70,Low,2
69,Master's,Education,1,Urban,35,Married,Self-employed,5,Rent,Apartment,Male,Car,4090954,61-70,High,0
49,High School,Education,4,Suburban,21,Married,Self-employed,5,Rent,Single-family home,Female,Public transit,85064,46-60,Medium,2
21,Bachelor's,Finance,5,Urban,37,Married,Self-employed,3,Own,Single-family home,Female,Public transit,537921,18-30,High,1
47,High School,Education,3,Urban,19,Married,Part-time,4,Own,Apartment,Female,Car,164295,46-60,High,2
54,Bachelor's,Technology,2,Rural,23,Married,Full-time,1,Rent,Single-family home,Female,Public transit,2893692,46-60,High,2
40,High School,Healthcare,1,Urban,20,Married,Full-time,7,Own,Townhouse,Female,Biking,66666,31-45,Low,2
56,Master's,Education,1,Urban,27,Divorced,Part-time,7,Own,Apartment,Male,Car,70646,46-60,Medium,1
62,Bachelor's,Education,4,Suburban,48,Married,Part-time,4,Rent,Apartment,Female,Public transit,68156,61-70,Low,1
32,Doctorate,Finance,3,Suburban,22,Married,Full-time,2,Own,Apartment,Female,Car,572590,31-45,High,2
60,Master's,Education,3,Urban,23,Married,Self-employed,2,Rent,Apartment,Female,Biking,226610,46-60,High,2
46,Bachelor's,Technology,1,Suburban,38,Single,Full-time,4,Own,Single-family home,Male,Public transit,70288,46-60,Medium,1
53,Bachelor's,Technology,0,Urban,43,Married,Part-time,2,Own,Apartment,Female,Car,73094,46-60,Medium,1
30,High School,Technology,1,Suburban,22,Single,Part-time,1,Rent,Apartment,Female,Public transit,43133,18-30,Low,2
49,Bachelor's,Technology,2,Rural,3,Married,Part-time,1,Rent,Apartment,Female,Public transit,546930,46-60,High,2
24,Master's,Education,3,Urban,45,Married,Part-time,2,Own,Single-family home,Female,Public transit,68044,18-30,Low,1
68,High School,Education,4,Urban,3,Married,Full-time,1,Rent,Single-family home,Female,Walking,66446,61-70,Low,2
39,Master's,Technology,3,Urban,29,Married,Self-employed,2,Own,Single-family home,Male,Public transit,287640,31-45,High,1
45,Bachelor's,Healthcare,1,Suburban,47,Married,Self-employed,3,Rent,Single-family home,Female,Walking,73182,31-45,Medium,1
19,Master's,Others,2,Suburban,27,Married,Part-time,3,Own,Single-family home,Female,Car,75118,18-30,Medium,1
59,Master's,Finance,0,Urban,30,Divorced,Full-time,4,Rent,Single-family home,Female,Walking,71990,46-60,Medium,1
62,Bachelor's,Education,3,Suburban,32,Married,Full-time,7,Own,Single-family home,Female,Public transit,71790,61-70,Medium,1
70,Bachelor's,Technology,1,Suburban,49,Married,Full-time,7,Rent,Townhouse,Female,Public transit,68046,61-70,Low,1
23,Bachelor's,Others,5,Suburban,18,Married,Part-time,2,Own,Apartment,Female,Biking,31127,18-30,Low,2
45,Master's,Healthcare,1,Suburban,9,Married,Full-time,3,Own,Apartment,Female,Public transit,70500,31-45,Medium,2
45,Doctorate,Finance,1,Urban,24,Single,Full-time,3,Rent,Single-family home,Male,Public transit,87542,31-45,Medium,2
61,Master's,Healthcare,2,Urban,36,Single,Part-time,1,Own,Townhouse,Female,Public transit,71280,61-70,Medium,1
61,Bachelor's,Technology,1,Suburban,12,Married,Self-employed,4,Own,Townhouse,Male,Public transit,70670,61-70,Medium,2
37,Bachelor's,Others,1,Rural,5,Married,Full-time,4,Own,Apartment,Male,Car,74132,31-45,Medium,2
47,Master's,Technology,1,Urban,29,Married,Part-time,3,Own,Apartment,Male,Car,65958,46-60,Low,1
28,Bachelor's,Technology,3,Urban,22,Married,Part-time,3,Rent,Single-family home,Male,Car,217972,18-30,High,2
45,Master's,Others,1,Suburban,35,Single,Self-employed,4,Own,Townhouse,Female,Public transit,48122,31-45,Low,1
42,Bachelor's,Finance,2,Suburban,15,Married,Part-time,6,Own,Apartment,Male,Car,73496,31-45,Medium,2
56,High School,Technology,5,Urban,7,Single,Part-time,1,Rent,Single-family home,Female,Biking,4701227,46-60,High,0
50,Bachelor's,Technology,3,Urban,15,Divorced,Part-time,5,Own,Single-family home,Female,Car,65756,46-60,Low,2
18,Bachelor's,Technology,5,Suburban,10,Married,Self-employed,1,Own,Apartment,Female,Public transit,7066470,,High,0
44,High School,Finance,1,Suburban,0,Married,Self-employed,5,Own,Townhouse,Male,Public transit,66922,31-45,Low,2
69,High School,Others,0,Suburban,21,Married,Full-time,4,Own,Apartment,Male,Public transit,2567436,61-70,High,2
30,Bachelor's,Finance,5,Suburban,17,Single,Part-time,4,Own,Townhouse,Male,Public transit,71024,18-30,Medium,2
58,High School,Finance,2,Urban,35,Married,Part-time,4,Own,Apartment,Female,Public transit,67218,46-60,Low,1
20,Bachelor's,Healthcare,0,Rural,10,Single,Part-time,2,Rent,Townhouse,Male,Public transit,165136,18-30,High,2
56,Master's,Finance,2,Suburban,19,Married,Full-time,2,Own,Single-family home,Female,Public transit,72898,46-60,Medium,2
23,Doctorate,Finance,0,Urban,9,Single,Full-time,2,Rent,Apartment,Female,Car,65944,18-30,Low,2
25,Master's,Finance,1,Rural,47,Married,Part-time,4,Own,Single-family home,Female,Public transit,67278,18-30,Low,1
44,Doctorate,Healthcare,0,Rural,9,Single,Full-time,3,Own,Apartment,Female,Public transit,66124,31-45,Low,2
26,Bachelor's,Others,5,Suburban,36,Married,Full-time,4,Own,Apartment,Male,Public transit,2526190,18-30,High,1
54,High School,Healthcare,0,Urban,49,Divorced,Self-employed,5,Own,Apartment,Female,Biking,70444,46-60,Medium,1
50,Bachelor's,Healthcare,2,Urban,21,Married,Full-time,1,Rent,Townhouse,Female,Biking,6730067,46-60,High,0
68,Master's,Technology,1,Urban,10,Single,Part-time,6,Rent,Apartment,Female,Car,75497,61-70,Medium,2
59,Bachelor's,Technology,2,Urban,34,Married,Self-employed,5,Own,Single-family home,Female,Car,265239,46-60,High,1
61,High School,Education,1,Urban,8,Married,Part-time,7,Rent,Single-family home,Male,Car,67380,61-70,Low,2
41,Master's,Finance,5,Urban,14,Single,Full-time,1,Own,Townhouse,Female,Public transit,62367,31-45,Low,2
32,High School,Education,4,Urban,50,Single,Full-time,7,Rent,Apartment,Male,Walking,68888,31-45,Low,1
49,Bachelor's,Healthcare,3,Rural,18,Single,Part-time,5,Rent,Townhouse,Female,Biking,118467,46-60,Medium,2
49,High School,Healthcare,5,Urban,36,Married,Self-employed,1,Rent,Single-family home,Female,Walking,1845016,46-60,High,1
41,Bachelor's,Others,5,Urban,5,Married,Self-employed,6,Rent,Apartment,Female,Car,1836641,31-45,High,2
58,Bachelor's,Healthcare,3,Urban,35,Married,Part-time,3,Rent,Townhouse,Male,Public transit,1710378,46-60,High,1
69,High School,Healthcare,2,Urban,43,Married,Full-time,1,Own,Apartment,Male,Public transit,74072,61-70,Medium,1
66,Bachelor's,Technology,5,Suburban,4,Married,Full-time,4,Rent,Single-family home,Female,Public transit,66420,61-70,Low,2
66,Bachelor's,Education,1,Urban,2,Married,Part-time,5,Own,Single-family home,Female,Biking,192980,61-70,High,2
69,Master's,Finance,0,Urban,9,Married,Full-time,2,Rent,Townhouse,Female,Car,66382,61-70,Low,2
29,Master's,Others,5,Urban,12,Single,Self-employed,7,Own,Townhouse,Male,Car,75288,18-30,Medium,2
56,Bachelor's,Finance,3,Urban,3,Single,Full-time,3,Own,Single-family home,Female,Car,71626,46-60,Medium,2
19,Master's,Education,5,Urban,39,Single,Full-time,6,Own,Apartment,Male,Car,65114,18-30,Low,1
20,Bachelor's,Technology,2,Urban,32,Married,Full-time,5,Own,Single-family home,Female,Biking,73568,18-30,Medium,1
66,Bachelor's,Technology,2,Urban,33,Married,Full-time,3,Own,Apartment,Male,Public transit,65804,61-70,Low,1
54,High School,Education,2,Urban,35,Single,Part-time,2,Rent,Single-family home,Female,Public transit,74500,46-60,Medium,1
66,Bachelor's,Healthcare,1,Suburban,32,Single,Full-time,2,Own,Apartment,Male,Biking,73370,61-70,Medium,1
34,Bachelor's,Technology,5,Urban,20,Married,Part-time,2,Rent,Townhouse,Female,Biking,707141,31-45,High,2
66,High School,Healthcare,2,Urban,38,Married,Part-time,2,Own,Single-family home,Female,Walking,73038,61-70,Medium,1
19,Bachelor's,Others,4,Urban,4,Single,Full-time,2,Own,Apartment,Female,Public transit,65250,18-30,Low,2
19,Master's,Finance,0,Urban,44,Single,Full-time,4,Own,Apartment,Male,Biking,317203,18-30,High,1
45,Bachelor's,Healthcare,2,Urban,12,Single,Self-employed,1,Own,Apartment,Male,Biking,67264,31-45,Low,2
40,High School,Healthcare,1,Urban,39,Married,Full-time,7,Own,Apartment,Female,Walking,69482,31-45,Low,1
54,Bachelor's,Others,0,Urban,16,Single,Part-time,2,Own,Single-family home,Male,Car,73858,46-60,Medium,2
